distrito_id,seccionprovincial_id,seccion_id,circuito_id,mesa_id,cargo_id,agrupacion_id,agrupacion_nombre,lista_numero,lista_nombre,votos_tipo,votos_cantidad,eleccion_id
1,0,1,000001,0001,3,,,,,COMANDO,0,9
1,0,1,000001,0002,3,,,,,COMANDO,0,9
1,0,1,000001,0003,3,,,,,COMANDO,0,9
1,0,1,000001,0004,3,,,,,COMANDO,0,9
1,0,1,000001,0005,3,,,,,COMANDO,0,9
1,0,1,000001,0006,3,,,,,COMANDO,0,9
1,0,1,000001,0007,3,,,,,COMANDO,0,9
1,0,1,000001,0008,3,,,,,COMANDO,0,9
1,0,1,000001,0009,3,,,,,COMANDO,0,9
1,0,1,000001,0010,3,,,,,COMANDO,0,9
1,0,1,000001,0011,3,,,,,COMANDO,0,9
1,0,1,000001,0012,3,,,,,COMANDO,0,9
1,0,1,000001,0013,3,,,,,COMANDO,0,9
1,0,1,000001,0014,3,,,,,COMANDO,0,9
1,0,1,000001,0015,3,,,,,COMANDO,0,9
1,0,1,000001,0016,3,,,,,COMANDO,0,9
1,0,1,000001,0017,3,,,,,COMANDO,0,9
1,0,1,000001,0018,3,,,,,COMANDO,0,9
1,0,1,000001,0019,3,,,,,COMANDO,0,9
1,0,1,000001,0020,3,,,,,COMANDO,0,9
1,0,1,000001,0021,3,,,,,COMANDO,0,9
1,0,1,000001,0022,3,,,,,COMANDO,0,9
1,0,1,000001,0023,3,,,,,COMANDO,0,9
1,0,1,000001,0024,3,,,,,COMANDO,0,9
1,0,1,000001,0025,3,,,,,COMANDO,0,9
1,0,1,000001,0026,3,,,,,COMANDO,0,9
1,0,1,000001,0027,3,,,,,COMANDO,0,9
1,0,1,000001,0028,3,,,,,COMANDO,0,9
1,0,1,000001,0029,3,,,,,COMANDO,0,9
1,0,1,000001,0030,3,,,,,COMANDO,0,9
1,0,1,000001,0031,3,,,,,COMANDO,0,9
1,0,1,000002,0032,3,,,,,COMANDO,0,9
1,0,1,000002,0033,3,,,,,COMANDO,0,9
1,0,1,000002,0034,3,,,,,COMANDO,0,9
1,0,1,000002,0035,3,,,,,COMANDO,0,9
1,0,1,000002,0036,3,,,,,COMANDO,0,9
1,0,1,000002,0037,3,,,,,COMANDO,0,9
1,0,1,000002,0038,3,,,,,COMANDO,0,9
1,0,1,000002,0039,3,,,,,COMANDO,0,9
1,0,1,000002,0040,3,,,,,COMANDO,0,9
1,0,1,000002,0041,3,,,,,COMANDO,0,9
1,0,1,000002,0042,3,,,,,COMANDO,0,9
1,0,1,000002,0043,3,,,,,COMANDO,0,9
1,0,1,000002,0044,3,,,,,COMANDO,0,9
1,0,1,000002,0045,3,,,,,COMANDO,0,9
1,0,1,000002,0046,3,,,,,COMANDO,0,9
