distrito_id,seccion_id,seccion_nombre
1,1,Comuna 01
1,10,Comuna 10
1,11,Comuna 11
1,12,Comuna 12
1,13,Comuna 13
1,14,Comuna 14
1,15,Comuna 15
1,2,Comuna 02
1,3,Comuna 03
1,4,Comuna 04
1,5,Comuna 05
1,6,Comuna 06
1,7,Comuna 07
1,8,Comuna 08
1,9,Comuna 09
10,1,General Belgrano
10,10,Tilcara
10,11,Humahuaca
10,12,Cochinoca
10,13,Rinconada
10,14,Santa Catalina
10,15,Yavi
10,16,Susques
10,2,Palpalá
10,3,San Antonio
10,4,El Carmen
10,5,San Pedro
10,6,Santa Bárbara
10,7,Ledesma
10,9,Tumbaya
11,1,Atreuco
11,10,Guatrache
11,11,Hucal
11,12,Loventue
11,13,Lihuel Calel
11,14,Limay Mahuida
11,15,Maraco
11,16,Puelen
11,17,Quemu Quemu
11,18,Rancul
11,19,Realicó
11,2,Capital
11,20,Toay
11,21,Trenel
11,22,Utracán
11,3,Caleu Caleu
11,4,Catriló
11,5,Chalileo
11,6,Chapaleufu
11,7,Chical-Co
11,8,Conhelo
11,9,Curaco
12,1,Capital
12,10,Vinchina
12,11,Independencia
12,12,Chamical
12,13,Angel Vicente Peñaloza
12,14,General Belgrano
12,15,Juan Facundo Quiroga
12,16,General Ortiz De Ocampo
12,17,Rosario Vera Peñaloza
12,18,General San Martín
12,2,Sanagasta
12,3,Castro Barros
12,4,Arauco
12,5,San Blas De Los Sauces
12,6,Chilecito
12,7,Famatina
12,8,Felipe Varela
12,9,General Lamadrid
13,1,Capital
13,10,Junín
13,11,Rivadavia
13,12,Tunuyán
13,13,San Carlos
13,14,Santa Rosa
13,15,La Paz
13,16,San Rafael
13,17,Malargue
13,18,General Alvear
13,2,Godoy Cruz
13,3,Guaymallén
13,4,Las Heras
13,5,Lavalle
13,6,Maipú
13,7,Luján
13,8,Tupungato
13,9,San Martín
14,1,Capital
14,10,Cainguas
14,11,25 De Mayo
14,12,Montecarlo
14,13,Guaraní
14,14,El Dorado
14,15,San Pedro
14,16,Iguazú
14,17,Gral. Manuel Belgrano
14,2,Apóstoles
14,3,Candelaria
14,4,Leandro N. Alem
14,5,Concepción De La Sierra
14,6,San Javier
14,7,San Ignacio
14,8,Oberá
14,9,L. General San Martín
15,1,Confluencia
15,10,Aluminé
15,11,Catán Lil
15,12,Picún Leufú
15,13,Collon Curá
15,14,Huiliches
15,15,Lácar
15,16,Los Lagos
15,2,Zapala
15,3,Añelo
15,4,Pehuenches
15,5,Chos Malal
15,6,Minas
15,7,Ñorquín
15,8,Loncopué
15,9,Picunches
16,1,Adolfo Alsina
16,10,Pichi Mahuida
16,11,Avellaneda
16,12,General Roca
16,13,El Cuy
16,2,Conesa
16,3,San Antonio Oeste
16,4,Valcheta
16,5,Nueve De Julio
16,6,25 De Mayo
16,7,Ñorquinco
16,8,Pilcaniyeu
16,9,Bariloche
17,1,Capital
17,10,Santa Victoria
17,11,Cerrillos
17,12,Chicoana
17,13,La Viña
17,14,Guachipas
17,15,Rosario De La Frontera
17,16,La Candelaria
17,17,Cafayate
17,18,San Carlos
17,19,Molinos
17,2,La Caldera
17,20,Cachi
17,21,Rosario De Lerma
17,22,La Poma
17,23,Los Andes
17,3,General Güemes
17,4,Metán
17,5,Anta
17,6,Rivadavia
17,7,Orán
17,8,San Martín
17,9,Iruya
18,1,Capital
18,10,Albardón
18,11,Ullúm
18,12,Pocito
18,13,Sarmiento
18,14,25 De Mayo
18,15,Caucete
18,16,Valle Fértil
18,17,Jáchal
18,18,Iglesia
18,19,Calingasta
18,2,Santa Lucía
18,3,Chimbas
18,4,Rivadavia
18,5,Zonda
18,6,Rawson
18,7,Nueve De Julio
18,8,San Martín
18,9,Angaco
19,1,Pueyrredon
19,2,Pringles
19,3,Pedernera
19,4,Chacabuco
19,5,San Martín
19,6,Junín
19,7,Ayacucho
19,8,Belgrano
19,9,Gobernador Dupuy
2,1,Adolfo Alsina
2,10,Arrecifes
2,100,Salliqueló
2,101,Salto
2,102,San Andrés De Giles
2,103,San Antonio De Areco
2,104,San Cayetano
2,105,San Fernando
2,106,San Isidro
2,107,San Nicolás
2,108,San Pedro
2,109,San Vicente
2,11,Berazategui
2,110,Suipacha
2,111,Tandil
2,112,Tapalqué
2,113,Tigre
2,114,Tornquist
2,115,Trenque Lauquen
2,116,Tordillo
2,117,Tres Arroyos
2,118,Tres De Febrero
2,119,La Costa
2,12,Berisso
2,120,Monte Hermoso
2,121,Veinticinco De Mayo
2,122,Vicente López
2,123,Villa Gesell
2,124,Villarino
2,125,Zárate
2,126,Tres Lomas
2,127,Florentino Ameghino
2,128,Presidente Perón
2,129,J. C. Paz
2,13,Bolívar
2,130,Malvinas Argentinas
2,131,Punta Indio
2,132,Ezeiza
2,133,Ituzaingó
2,134,Hurlingham
2,135,Lezama
2,14,Bragado
2,15,Brandsen
2,16,Campana
